,2000 Forest area (% of land area),2000 GDP per capita (constant 2010 US$),2005 Forest area (% of land area),,2005 GDP per capita (constant 2010 US$),2010 Forest area (% of land area),2010 GDP per capita (constant 2010 US$),2015 Forest area (% of land area),2015 GDP per capita (constant 2010 US$)
Marshall Islands,70.2,"2,617.4",70.2,,"2,926.6",70.2,"3,146.8",70.2,"3,315.2"
Mauritania,0.3,998.1,0.3,,"1,083.2",0.2,"1,203.4",0.2,"1,306.6"
Mauritius,20.6,"5,560.2",18.8,,"6,245.2",18.9,"8,000.4",19.0,"9,468.9"
Mexico,34.9,"8,997.4",34.5,,"9,059.8",34.2,"9,016.5",34.0,"9,717.9"
"Micronesia, Fed. Sts.",91.2,"2,706.8",91.4,,"2,824.9",91.6,"2,861.8",91.8,"2,838.9"
Moldova,9.9,968.3,11.0,,"1,379.9",11.8,"1,631.5",12.4,"1,980.3"
,,,,,,,,,
Mongolia,7.5,"1,600.5",7.3,,"2,079.1",8.4,"2,650.4",8.1,"3,923.6"
Montenegro,46.5,"4,950.2",46.5,,"5,599.9",61.5,"6,682.3",61.5,"7,279.9"
Morocco,11.2,"1,972.3",12.1,,"2,358.4",12.7,"2,834.2",12.6,"3,209.7"
Mozambique,52.4,256.5,51.0,,339.1,49.6,419.2,48.2,510.8
Myanmar,53.4,346.8,51.0,,603.8,48.6,987.7,44.5,"1,342.3"
Namibia,9.8,"3,746.7",9.3,,"4,454.6",8.9,"5,191.6",8.4,"6,120.7"
Nauru,0.0,..,0.0,,..,0.0,"4,912.6",0.0,"9,143.7"
Nepal,27.2,459.1,25.4,,502.2,25.4,592.2,25.4,690.1
Netherlands,10.7,"46,133.2",10.8,,"48,107.6",11.1,"50,338.3",11.2,"51,410.5"
,,,,,,,,,
New Zealand,38.5,"28,973.0",38.7,,"32,887.1",38.6,"33,692.0",38.6,"37,038.9"
Nicaragua,31.7,"1,309.5",28.8,,"1,429.3",25.9,"1,526.5",25.9,"1,878.2"
Niger,1.0,322.1,1.0,,326.3,1.0,348.2,0.9,388.3
Nigeria,14.4,"1,287.1",12.2,,"1,875.0",9.9,"2,327.3",7.7,"2,562.5"
Northern Mariana Islands,69.5,..,67.7,,"19,408.3",65.9,"14,681.0",64.1,"14,919.6"
Norway,33.2,"81,709.7",33.1,,"88,494.4",33.1,"87,770.3",33.2,"90,104.0"
Oman,0.0,"18,698.4",0.0,,"17,631.9",0.0,"19,281.0",0.0,"16,957.9"
Pakistan,2.7,848.6,2.5,,974.5,2.2,"1,040.1",1.9,"1,140.2"
Palau,86.1,"9,342.9",87.6,,"10,701.0",87.6,"8,932.3",87.6,"10,577.6"
Panama,65.5,"5,493.6",64.3,,"6,172.4",63.2,"8,080.8",62.1,"10,747.8"
Papua New Guinea,74.2,"1,724.2",74.2,,"1,693.3",74.1,"2,004.8",74.1,"2,402.5"
Paraguay,48.7,"2,692.5",46.5,,"2,708.0",42.7,"3,225.6",38.6,"3,822.9"
Peru,59.5,"3,310.8",59.0,,"3,831.4",58.4,"5,022.5",57.8,"5,937.3"
Philippines,23.6,"1,607.2",23.7,,"1,818.3",22.9,"2,129.5",27.0,"2,615.7"
Poland,29.6,"8,526.3",30.0,,"9,950.6",30.5,"12,599.5",30.8,"14,642.1"
Portugal,36.5,"21,513.5",36.0,,"22,004.8",35.4,"22,538.7",34.7,"22,016.8"
Puerto Rico,50.7,"24,161.2",52.2,,"27,566.6",54.0,"26,435.7",55.9,"27,501.6"
Qatar,0.0,"60,858.2",0.0,,"61,688.8",0.0,"70,306.2",0.0,"67,277.2"
Romania,27.7,"4,910.2",27.8,,"6,838.2",28.3,"8,231.3",29.8,"9,639.4"
Russian Federation,49.4,"6,491.0",49.4,,"8,927.9",49.8,"10,675.0",49.8,"11,325.8"
Rwanda,13.9,327.2,15.6,,430.8,18.1,563.4,19.5,714.4
Samoa,60.4,"2,766.5",60.4,,"3,412.0",60.4,"3,453.4",60.4,"3,555.1"
San Marino,0.0,"70,449.0",0.0,,"77,823.2",0.0,"68,758.4",0.0,"52,477.0"
Sao Tome and Principe,58.3,..,58.3,,952.7,55.8,"1,129.8",55.8,"1,260.6"
Saudi Arabia,0.5,"18,263.2",0.5,,"19,309.3",0.5,"19,259.6",0.5,"21,508.0"
Senegal,46.2,877.0,45.0,,967.5,44.0,"1,002.5",43.0,"1,053.0"
Serbia,28.3,"3,405.8",28.3,,"4,649.6",31.0,"5,411.9",31.1,"5,663.4"
Seychelles,88.4,"9,790.3",88.4,,"9,450.3",88.4,"10,804.7",88.4,"13,187.6"
Sierra Leone,40.5,303.6,39.1,,353.1,37.8,399.2,42.2,437.2
Singapore,24.4,"33,390.1",23.7,,"40,020.3",23.3,"46,569.7",23.1,"52,785.3"
,,,,,,,,,
Slovak Republic,39.9,"10,296.7",40.2,,"13,210.3",40.3,"16,600.6",40.3,"18,678.9"
Slovenia,61.2,"18,570.7",61.7,,"22,029.4",61.9,"23,437.5",62.0,"23,731.2"
Solomon Islands,81.0,"1,252.9",80.1,,"1,158.9",79.1,"1,290.6",78.1,"1,482.2"
,,,,,,,,,
South Africa,7.6,"5,837.9",7.6,,"6,599.4",7.6,"7,275.4",7.6,"7,575.2"
,,,,,,,,,
